,prompt,completion
35,"Generate a Rick and Morty episode based on the title.
Title: Rattlestar Ricklactica
Episode:
","In order to keep Jerry from hurting himself while putting up Christmas lights Rick makes him lighter than air, and makes Jerry's shoes heavier than air to act as an anchor. However, Jerry later loses one of his shoes which causes him to float away and get lost. While traveling through space, Rick's spaceship gets a ""flat tire"", which requires Rick to stop to repair it. Morty disobeys Rick's order to stay in the spaceship, and is bitten by a space snake. As Rick analyzes the snake for an antidote, he and Morty learn that it is in fact an astronaut from a planet of intelligent snakes that are on the brink of a world war. Feeling guilty, Morty secretly replaces the dead snake astronaut with a regular snake and drops it off at the snake planet. The alien snakes soon realize Morty's snake is not native to their planet. Later, time-traveling robot snakes arrive at Morty's house to try to protect and kill him. With help from a future version of himself, Rick travels back in time and leaves the secrets of time travel to the snakes earlier in their timeline, which eventually results in them abusing time travel enough to attract the attention of the Time Police, who destroy their civilization by eliminating their first intelligent ancestor. Jerry manages to make his way back home but ends up injuring himself like Rick predicted. Rick and Morty then meet their future selves, who remind them they need to help their past selves solve the snake problem and close the time loop."
36,"Generate a Rick and Morty episode based on the title.
Title: Never Ricking Morty
Episode:
","Rick and Morty find themselves aboard the Story Train, which serves as a literal story device for an anthology episode, featuring passengers telling each other tales about Rick. After killing the train's ticket taker, using a ""continuity explosion"" to find a map of the train, and fabricating a story that passes the Bechdel test, the two reach the train's engine room. There they confront Story Lord, who beats and captures them with the intent of using their ""story potential"" to power the train enough to take it beyond the fifth wall. They experience various possible futures, culminating in Rick and Morty facing an army commanded by President Morty. Rick averts the battle by having himself and Morty give their lives to Jesus. The anticlimax slows Story Train to a halt, causing Story Lord to angrily enter the potential future as Jesus himself appears. Rick and Morty use the literal deus ex machina to escape back onto Story Train and strand Story Lord in ""every writer's hell: the Bible."" When they try to return home, however, Rick discovers the train control panel is fake, and it's revealed that Story Train is a model train operating inside the Smith household. After Story Lord explains the nature of their reality and an origin story of Yahweh to Jesus, he breaks the toy. Rick, in a semi-lucid drunken stupor, chastises Morty to buy another one, as ""Nobody's out there shopping with this fucking virus""."
37,"Generate a Rick and Morty episode based on the title.
Title: Promortyus
Episode:
","Rick and Morty find out that they have been mind controlled by facehugging parasites called the Glorzo, and that they are attempting to use Rick's UFO to power a superweapon that will spread the Glorzo to Earth. Rick and Morty manage to fight their way off the planet, causing mass destruction. However, upon returning home, they realize they left Summer behind and return on a rescue mission, only to find that Summer does not have a Glorzo attached to her and is worshiped as a goddess. Summer explains that after Rick and Morty fell under the control of the Glorzo, she was spared due to a toothpick in her mouth, which prevented the Glorzo from being able to latch on to her face and caused them to consider her a goddess. The three of them attempt to escape, but are blocked by the rest of the Glorzo. Rick then uses a tune from Morty's harmonica, which triggers the Glorzo's host body to lay its implanted egg, resulting in the death of both the host and the controlling Glorzo. All of the Glorzos are killed, but not before accusing Rick, Morty, and Summer of destroying them simply for trying to advance their civilization. Upon returning home, Rick and Morty start feeling severe stomach pain. Fearing they're about to lay Glorzo eggs, the two say their final goodbyes to each other, but it turns out the pain was from a regular bowel movement."
38,"Generate a Rick and Morty episode based on the title.
Title: The Vat of Acid Episode
Episode:
","While on a mission, Rick and Morty trade special gems with alien gangsters. The gangsters betray them and Rick fakes his and Morty's deaths by jumping into a vat of fake acid. However, as they hide in the vat, the gangsters don't immediately leave. Morty grows impatient and kills the gangsters with Rick's gun, accusing Rick of having a bad idea with the vat of acid. Morty then dares Rick to invent something based on one of his ideas, where he can create a ""save point"" in time that he can return to in order to escape death or correct mistakes. Rick grudgingly agrees creating a special remote, but Morty takes it before he can explain how it works. Morty then commits numerous crimes and pranks and resets himself to avoid consequences. Eventually, though, Morty falls in love and starts a relationship with a young woman. When they end up stranded in the wilderness, Morty considers using the remote but calls for rescue instead, wanting to preserve the relationship he has. However, after Morty is rescued, Jerry accidentally presses the remote, resetting Morty back to before the relationship started. Morty fails his attempt to restart the relationship when his save point is accidentally overwritten, and he returns to Rick, saying he has learned his lesson that one shouldn't live a consequence free life. Rick then reveals that the remote does not reset the timeline, but instead teleports Morty to an alternate dimension, and also kills the Morty native to that dimension so Morty can take his place. Horrified, Morty begs Rick to undo everything, so Rick merges all of the alternate dimensions. While this prevents the deaths of the alternate Mortys, everybody remembers the crimes Morty committed, and the only way he can escape is to jump into a vat of fake acid to fake his death. Satisfied his point was proven, Rick reveals they were in an alternate dimension this entire time, as he didn't want to risk Morty ruining their home dimension."
39,"Generate a Rick and Morty episode based on the title.
Title: Childrick of Mort
Episode:
","As Jerry takes the family out on a camping trip, Rick receives a call from Gaia, a sentient planet, that she is pregnant with his children. Beth pressures Rick not to abandon his offspring, so he reluctantly takes the family to Gaia where the first generation of Gaians are born. Jerry takes Morty and Summer into the wilderness to camp while Rick and Beth build an advanced civilization for the Gaians so they can be self sufficient. However, as part of their process to sort the Gaians into professions, a number of them are classified as ""unproductive"" and banished from the city. Meanwhile, Morty and Summer abandon Jerry, angry at him for forcing them on the camping trip. Jerry comes across the Unproductives and raises them as a primitive, tribal society. Morty and Summer find a crashed alien spaceship and manage to make it fly after some improvised repair. Suddenly, Reggie, a godlike being who is the true father of the Gaians, arrives to take custody of them. Rick, realizing that Reggie has no interest in actually taking care of the Gaians, refuses to give up custody. Jerry then arrives with the Unproductives to attack the Gaians, so Reggie empowers Jerry while Rick gives Beth an advanced gun. Rick then fights Reggie hand to hand but is nearly defeated; then Morty and Summer's spaceship crashes into Reggie's head, killing him. Reggie's body falls on Gaia, destroying the city and killing many Gaians while Jerry rescues Beth. Furious at Reggie's death, Gaia chases Rick and his family back into space. Beth, Morty, and Summer reconcile with Jerry, which causes Rick to angrily point out Beth's failures in raising Morty and Summer."
40,"Generate a Rick and Morty episode based on the title.
Title: Star Mort Rickturn of the Jerri
Episode:
","A clone of Beth, teased in ""The ABC's of Beth,"" is shown leading a rebellion against the ""new and improved"" Galactic Federation. After a battle, she is treated by a doctor, who discovers a device implanted in her neck, causing her to believe she's the clone. On Earth, Beth and Jerry go to family counseling at Dr. Wong's, while Morty and Summer fight over Rick's invisibility belt. Space Beth confronts Rick, who reveals that the other Beth also has a device in her neck and claims she is the clone. The Federation soon arrives at Earth, demanding Space Beth be handed over. Rick accidentally lets slip that Space Beth might in fact be the clone, and races to Dr. Wong's office to save Beth from Tammy and a squad of soldiers, who have mistaken her for Space Beth. Rick, Beth, and Jerry rendezvous with Space Beth, and both Beths are now mad at Rick for his refusal to disclose which is the clone. They are again attacked by Tammy, who takes the Beths prisoner and beams them up to the Federation's ship. Morty and Summer intervene and Rick kills Tammy. The family heads to the ship, with Rick going to free the Beths while Morty and Summer shut off its superlaser before it can annihilate Earth. The Beths escape on their own as Rick is confronted by Phoenixperson, who almost kills him before being shut down by Space Beth (with Jerry's help). In the aftermath, Rick retrieves the memory tube containing his memory of creating the clone Beth, having erased his own knowledge of which Beth is the original. However, no one in the family is interested in learning the truth. Rick watches the memory nonetheless, only to learn that Beth asked him to decide for himself whether he wanted her in his life. He cloned her, then had the two Beths swapped around until he no longer knew which was the original. After admitting to himself that he is ""a terrible father,"" Rick tries to be a good friend instead and fix Phoenixperson (whose remains he retrieved after the battle), only to be aggressively rejected. Rick is left alone and distraught."
41,"Generate a Rick and Morty episode based on the title.
Title: Mort Dinner Rick Andre
Episode:
","While crash-landing Rick's ship in the ocean, Morty unexpectedly talks Jessica (Kari Wahlgren) into a date. Unfortunately, landing in the ocean provokes Rick's hitherto unmentioned nemesis, Mr. Nimbus (Dan Harmon), King of the ocean and controller of the police. Morty attempts to have a normal date at his home with Jessica while also helping Rick host a dinner party to placate Mr. Nimbus. In the process, he accidentally meddles with the history of an alternate dimension where time moves orders of magnitude faster than on Earth. Religions develop that depict Morty as a legendary figure of doom, complicating his attempts to retrieve the wine that he has been aging there. Just as Rick and Mr. Nimbus resolve their differences, Summer returns from executing Rick's orders to steal a shell that increases Mr. Nimbus' strength, inciting Mr. Nimbus to beat up Rick and have him arrested. Jessica decides to stay friends with Morty, her outlook on life changed profoundly from being imprisoned for eons by the alien society. Meanwhile, Beth and Jerry brag unconvincingly that their relationship has become more sex-positive."
42,"Generate a Rick and Morty episode based on the title.
Title: Mortyplicity
Episode:
","Rick, Morty, Summer, Beth and Jerry are having breakfast when alien squid assassins kill them. They are revealed to be decoys, and the real Rick is alerted to their deaths. However, the ""real"" Smith family is revealed to also have been decoys, and a chaotic series of events erupt as the decoys are alerted to the deaths of other decoys and struggle to figure out which family is the original, for the original Rick did not realize the decoys would resort to making more decoys. After a family of decoys clashes and kills another, they figure out that the squids are actually further decoys trying to kill all other versions of themselves. Another family, who still thinks they are real, are kidnapped by deformed decoys trying to harvest their skin but are rescued by wooden decoys, who attempt to rally a group of decoys but are crushed to death when squid-decoys kill them. One family alerts all decoys to their location and all of the decoys are killed in the ensuing mayhem. Meanwhile, the real Smith family, on an adventure with Space Beth, are alerted to the decoys' deaths."
43,"Generate a Rick and Morty episode based on the title.
Title: A Rickconvenient Mort
Episode:
","Planetina (Alison Brie), a Captain Planet-esque superhero, puts a stop to acid rain falling on Rick and Morty. Seeing this, Morty immediately develops an interest in her. Later, Rick decides to take Summer on a trip to three planets which are about to be destroyed and are having large sexual parties to celebrate their impending doom. While Morty is strengthening his relationship with Planetina, Rick finds a girlfriend, Daphne (Jennifer Coolidge), on the first planet and takes her with him. Back at home, Beth finds out about Planetina and forbids Morty to be with her. The two run away, avoiding the 4 people with magic rings who created her and Eddie (Steve Buscemi), who wants to sell her to a rich Sheikh. They pursue eco-friendly activities until Planetina stumbles upon a coal mine and decides to destroy it, killing 300 miners inside. Morty is distraught and horrified by this, and decides to end his relationship with Planetina, leaving Morty severely heartbroken with Beth comforting him and telling him she understands his pain. Rick and Summer, along with Daphne, travel to the third planet. Summer, tired of Rick ignoring her, uses Rick's car to destroy the asteroid. Daphne realizes that she's no longer in any danger and abandons Rick, proving Summer's earlier claim that she did not love him."
44,"Generate a Rick and Morty episode based on the title.
Title: Rickdependence Spray
Episode:
","Rick unknowingly uses Morty’s sperm to create giant sperm monsters. The president works with the Smith family to destroy the sperm monsters, and pinpoint them in the Grand Canyon. Rick and Morty destroy the sperm queen's base of operations and follow the remaining sperm monsters to Las Vegas, where the government has placed a giant human egg from Summer, unaware that the sperm is Morty's, to attract the sperm. Once Morty reveals the sperm is his, the US military, Vegas performers, and the CHUD (horse-people) destroy most of them, but one abnormal sperm (which Morty names ""Sticky"") gets to the egg and fertilizes it before it launches into space."
45,"Generate a Rick and Morty episode based on the title.
Title: Amortycan Grickfitti
Episode:
","Jerry unknowingly uses his social ineptitude to inflict pain on, and thereby pleasure, hell-demons to repay a debt Rick owes to them. After realizing that he is being used as a pawn, an upset Jerry angers the demons, and he is kidnapped to Hell. Beth and Rick save him by disguising themselves as demons and creating an ""Aversion-Converting Inversion Reverter"", which shoots shrapnel reverting the pleasure from pain to actual pain, and kill many of the demons. Meanwhile, Morty and Summer try to impress new student Bruce Chutback by hijacking the Space Cruiser and taking it on adventures, but they are found out by the car's AI, who blackmails them into going on even more life-threatening adventures. They try to appease it by arranging for it to socialize with a group of shape-shifting robots called Changeformers, but after the robots express revulsion to the Space Cruiser's association with humans, the AI kills the Changeformers. Morty, Summer, and Bruce are arrested, but are then rescued by the AI, brought back home, and forced to act like nothing happened. Bruce states that, while he enjoyed the night, he will only hang out with Morty and Summer if they have good standing within their school."
46,"Generate a Rick and Morty episode based on the title.
Title: Rick & Morty's Thanksploitation Spectacular
Episode:
","Morty releases a giant robot from the Statue of Liberty after accidentally destroying the Constitution of the United States in a hidden crypt. Rick tries to obtain a ""turkey pardon"" from the president by disguising himself and Morty as turkeys, but the president, aware of Rick's schemes, turns himself and other military volunteers into turkeys to stop him. In the chaos, a turkey is accidentally infused with the president's DNA and takes his place. The president, his forces, and Rick and Morty join forces with aliens and robots kept in stasis in the crypt to overthrow the turkey-president and his turkey enforcers. Rick is granted a pardon for his aid in the resistance."
47,"Generate a Rick and Morty episode based on the title.
Title: Gotron Jerrysis Rickvangelion
Episode:
","Rick, Morty, and Summer are on a space trip to Boob World when Rick spots a crashed GoTron ferret, completing his collection. Deciding to use the ferrets to fight giant bug-monsters attacking other worlds, the entire Smith family serve as pilots. As Rick’s obsession with the GoTron deepens, they start working with alternate-universe Smith families on building the Ultimate GoTron with all their collected ferrets, but also by stealing the other GoTrons from their universes' pilots. Summer feels like Rick appreciates her more than Morty, while Morty tries to help Summer see that Rick cares only about the GoTrons. Rick had already replaced her with an ""anime girl"" named Kendra; unbeknownst to Rick, Kendra commands the original GoTron pilots of the other universes, seeking their ferrets back. After Summer is fired, she reveals that her ""Giant Incest Baby"" (called ""Naruto"") is alive and she helped him escape from the military. The family returns to Rick and with Naruto's help they save him from the original GoTron pilots. After the rescue, Rick grows tired of the GoTrons."
48,"Generate a Rick and Morty episode based on the title.
Title: Rickternal Friendshine of the Spotless Mort
Episode:
","Rick enters Birdperson's mind in order to find out why he is failing to act normally and how he could bring back the original mind of Birdperson. Memories reveal that Birdperson distanced himself from Rick after Rick expressed feelings for him and told him life was meaningless because there are infinite realities he could take them to through the portal gun. Rick discovers that Birdperson and Tammy have a daughter, who was inhibited from Birdperson's memories by the Federation. They track down Birdperson's central body, where he is cherishing his relationship with Tammy blissfully unaware of her treachery. They are hunted down by other versions of Tammy and Phoenixperson and barely escape after Birdperson's memory of Tammy reveals that she loved him more than the Federation. Birdperson is revived in the real world, but his relationship with Rick is strained when he realizes Rick concealed the existence of his daughter from him, and leaves to find her. Rick finds his younger self hiding in memories of his childhood and offers to make him real, but his past self is hesitant due to fears of becoming like Rick himself."
49,"Generate a Rick and Morty episode based on the title.
Title: Forgetting Sarick Mortshall
Episode:
","Exasperated at having to continually clean up Rick's messes, Morty accidentally spills portal fluid on his hand and finds himself able to speak to Nick, another man who spilled Rick's portal fluid onto himself. They become friends and Morty breaks him out of the psychiatric facility in which he is confined. However, Nick shows himself to be a violent psychopath who spilled Rick's portal fluid after he had tried to steal the portal gun from Rick, and he pursues Morty, intending to make him his accomplice on a crime spree. After a violent chase and struggle, Morty has a train slice off his hand and puts it in Nick's portal, causing Nick to implode. Meanwhile, Rick teams up with two crows to show Morty how disposable he is, but after an adventure wherein they save him from anthropomorphic crows attempting to savage Earth, he realizes they are more than just disposable alternatives to Morty. After repairing Morty's hand, Rick leaves him behind to travel with the two crows, leaving Morty devastated."
50,"Generate a Rick and Morty episode based on the title.
Title: Rickmurai Jack
Episode:
","Rick abandons his life of adventure with the crows when he discovers he is their rebound. He meets Morty at the Citadel, but they are accosted by Rick agents, who take them to see President Morty. There, President Morty reveals that he has used brain scans taken from Rick[b] to create a path outside of the Central Finite Curve — an isolated portion of the multiverse where Rick is the smartest man alive, having restricted access for Ricks from those where he is not. Flashbacks reveal Rick's backstory: after an alternate Rick murdered his wife Diane and a young Beth[c], he invented his portal gun to scour the multiverse for their killer, creating the Curve before reuniting with Morty's family. A group of Ricks joined forces to stop him as he killed countless Ricks, eventually becoming the Citadel. President Morty reveals that he is tired of the abuse that all Ricks within the Central Finite Curve will invariably inflict upon their Morty's, and seeks to destroy the Curve in order to escape; he hacks all the portal guns in the city, causing widespread death, then flees in an escape pod. Rick, Morty, and a group of survivors jettison themselves from the Citadel, which along with the Curve is destroyed by a black hole created by the hacked portal guns. President Morty steps into a yellow portal to an unknown destination."
51,"Generate a Rick and Morty episode based on the title.
Title: Solaricks
Episode:
","Saved from the Citadel ruins by Space Beth, Rick attempts to reset the settings on his portal gun, but accidentally sends everyone who has traveled interdimensionally to their original dimensions. Morty returns to Cronenberg World from ""Rick Potion #9"", Jerry swaps places with ""Season Two Jerry"" because of the events of ""Mortynight Run"", and Rick is transported to his original universe where his wife Diane and his Beth were killed by Rick Prime,[2] who is Morty's true grandfather. As Summer and both Beths travel back to the Citadel to establish an interdimensional beacon, Rick learns that Rick Prime was also transported by the reset. The original Jerry tells Morty that his Beth and Summer did not survive being frozen in ""The Rickshank Rickdemption""[a]. Jerry abandons Morty in order to move on. Rick rescues Morty and takes him to confront Rick Prime but finds an elaborate trap. Morty convinces him to save the rest of the family instead. However, once the family picks up Jerry and returns home, they are confronted by Season Two Jerry, who releases an alien named Mr. Frundles that rapidly replicates and forces the family to relocate to a replacement dimension where their counterparts all died."
52,"Generate a Rick and Morty episode based on the title.
Title: Rick: A Mort Well Lived
Episode:
","Morty becomes trapped in the virtual reality game Roy when Die Hard-inspired alien terrorists attack the Blips and Chitz arcade and cause a temporary power outage. His identity is split among the game's five billion NPCs. Rick enters the game, playing as the titular Roy, to try to convince the NPCs that they are part of Morty. Rick builds millions of spaceships, planning on taking all the fragments to the edge of the map, which will reset the game and allow Rick and Morty to exit. However, Rick faces resistance from many Morty fragments, some of whom go to war with each other. One individualistic fragment, Marta, negotiates with Rick—she will convince the other Morty fragments to leave on one unspoken condition. Meanwhile, Summer picks off the terrorists, led by Chans, one by one. Chans explains that all sapient species develop the Die Hard mythology and that he is an expert who has written several books about it. Summer reads one of Chans' books, then defeats him with a gun taped to her back just as Rick and Morty escape Roy. Rick pays a Blips and Chitz staffer to take the still-running Roy machine into storage, with Marta left behind inside."
53,"Generate a Rick and Morty episode based on the title.
Title: Bethic Twinstinct
Episode:
","Space Beth comes back to celebrate Thanksgiving. She and Beth bond over a bottle of Venusian Wine which Space Beth had brought back from Venus. Eventually, their casual flirting develops into a full-on love affair. Summer and Morty notice, but try to ignore it by playing ""realistic"" alien video games. Rick deduces the affair and tells Beth that while he once did something similar, she must be careful about what this could do to the family. Summer and Morty become concerned about Jerry, who previously claimed he would kill himself if Beth cheated on him. When Space Beth admits to the affair to Jerry, he rolls up into a pillbug (an emotional defense system Rick built for him while they were drunk together). Both Beths ask Rick to erase their memories of the affair. Jerry overhears this and exits his pill bug form to stop the erasure, but says he is leaving Beth. Space Beth realizes that Jerry is only upset that the affair happened without his knowledge. With Jerry's full consent, he and the Beths have a threesome, to Summer's and Morty's disgust. After Space Beth leaves, Rick locks the Venusian Wine in an invisible cabinet and destroys its key-remote."
54,"Generate a Rick and Morty episode based on the title.
Title: Night Family
Episode:
","Rick obtains an alien device called a ""somnambulator"" that allows him to voluntarily sleepwalk, creating a ""Night Person"" who does tasks that he does not want to do in the daytime. The rest of the family create their own ""night people"" who exercise, learn new skills, and do household chores. Eventually, Night Summer leaves a note requesting that Rick rinse the dishes before she washes them, but Rick deliberately ignores the request. The escalating conflict between the Smiths and their ""night family"" over the dishes ends with Night Summer and her minions locking Rick out of his own technology, building a giant version of the somnambulator to maintain permanent control of their bodies, and enslaving their diurnal selves while the Night Family sleeps. The Smiths attempt to escape with the help of Night Jerry, whom Jerry had befriended by leaving handwritten notes for him, and a chaotic battle ensues as both sides fight for control by tranquilizing and waking each other. Night Summer offers a truce in exchange for Rick washing his dishes. Rick refuses and as a result, Summer allows his Night Person to retake control of his body."
55,"Generate a Rick and Morty episode based on the title.
Title: Final DeSmithation
Episode:
","Jerry receives a fortune cookie that says he is destined to have sex with his mother. Upon noticing how circumstances seem to be moving inexorably toward said fortune, he and Rick infiltrate the fortune cookie factory to investigate while Morty, Summer, and both Beths visit the zoo. There, they find that fortune cookies come from the excrement of a captive fate-altering alien called a Lockerean, and Jerry's fortune came from its imprisoned caretaker in an attempt to draw scrutiny. CEO Jennith Padrow-Chunt brings in a squad of armed fortune-boosted guards, alongside Jerry's mother to ensure he follows through with his fate, until Rick feeds Jerry another fortune cookie that cancels it out. Because people are immortal until their fortunes are fulfilled, Rick finds a way to make Padrow-Chunt the world's most successful businesswoman (her fate), thus rendering her vulnerable, and she and the caretaker are subsequently eaten by the Lockerean. After they return home, it is revealed that Rick survived by eating a fortune that said ""You'll make a new friend"", which Jerry accidentally fulfills by thanking him and calling him a friend, much to Rick's chagrin."
56,"Generate a Rick and Morty episode based on the title.
Title: Juricksic Mort
Episode:
","A technologically advanced species of dinosaurs arrive on Earth, stating that it is their former home and they travel between worlds to spread peace and technology. The world's governments grant them control and they soon make work obsolete and create a utopia. Many people, however, are dissatisfied with the lack of responsibility, including the President, who promises to let Rick host the Academy Awards if he can get rid of the dinosaurs. Rick and Morty visit other planets that the dinosaurs have tended, finding that they all suffered asteroid impacts similar to the one that caused the Chicxulub crater. Rick announces that dinosaurs have a rival species of homicidal sentient asteroids, one of which is headed for Earth. Reluctant to use violence even in self-defense, the dinosaurs leave to draw the impactor away. Rick hosts the Oscars, but leaves when Summer tells him the dinosaurs are on Mars awaiting their demise. He travels to Mars and tells the dinosaurs that selflessness and selfishness are the same, prompting them to destroy the asteroid. In thanks for Rick ""saving"" them, the dinosaurs fix the temporal rift, much to his dismay. Rick returns home and repairs his portal gun, excitedly telling Morty their interdimensional adventures can resume."
57,"Generate a Rick and Morty episode based on the title.
Title: Full Meta Jackrick
Episode:
","After venturing beyond the fourth wall into the meta where all fictional characters exist, Rick and Morty fall into a trap set by Story Lord from ""Never Ricking Morty"". Story Lord steals Rick's device which allows him to travel to the real world and seek out his creator, Jan. Meanwhile, Rick and Morty, seeking a way back to the real world, infiltrate the fortress of the ""Self-Referential Six"", a group of ""meta nerds"" who all have reality-warping powers based on narrative techniques and devices (such as plot twists and continuity errors), but are attacked by the group and forced to flee back into the meta. They are rescued by Joseph Campbell, who assists them in creating a device to return to the real world to confront Story Lord. Jan and Story Lord have created a machine capable of siphoning motivation from the universe's inhabitants to fuel Story Lord's own ""motivation."" Morty, with the assistance of a spectral Campbell, convinces Jan to stop operating the machine, depowering Story Lord and allowing Rick to defeat him. At Morty's and Campbell's prompting, Jan kills Story Lord. After Rick and Morty depart, he becomes inspired to continue writing, much to the spectral Campbell's dismay."
58,"Generate a Rick and Morty episode based on the title.
Title: Analyze Piss
Episode:
","Tired of attacks from supervillains, Rick goes to Dr. Wong from “Pickle Rick"" for advice. She recommends that he ignore them. A villain named Pissmaster goads Rick into battling him, which Jerry does in his place when Pissmaster makes a sexual remark about Summer. The incident goes viral and Jerry is invited to sit on a council of intergalactic superheroes, much to Rick's jealousy, until Dr. Wong points out that Rick is now free of burden. Rick is happy at first until he discovers Pissmaster committing suicide, having left a note blaming Jerry. Rick dons Pissmaster's suit and performs many heroic deeds, redeeming the villain's public image. The council sends Jerry to offer Pissmaster a seat among them, which Jerry reluctantly and forcefully attempts to do as Rick disarms a bomb by sacrificing Pissmaster's suit to cover his suicide with a heroic death. The council dismisses Jerry for his arrogance. Rick lies that he was Pissmaster all along to make Jerry feel better about himself, but gives Morty the real Pissmaster's suicide note. Horrified, Morty promptly tells the whole family, who berate Rick for his actions and shame Jerry for Pissmaster's death."
59,"Generate a Rick and Morty episode based on the title.
Title: A Rick in King Mortur's Mort
Episode:
","While waiting in line for food, a Knight of the Sun offers Morty his knighthood. Ignoring Rick's warnings and calling him ""boring"", Morty goes to the Sun and is told that he must sever his penis to join the Knights. Morty refuses and attempts to leave; opposed by the King of the Sun, he bests the King in combat and becomes King himself. He exposes the Knights' worldview as flawed and convinces them to disband. Without the Knights' influence, a peace summit among the leaders of the planets fails and a war breaks out. Morty finds the Knights of the Sun using heroin and inspires them to resume their duties by promising he will cut off his penis, Rick having built him a fake. The war ends and all the planets accept Morty as King but have set up various machines to expose his fake penis, forcing Rick and Morty to fake their deaths. With this, the Knights end their tradition of penis cutting."
60,"Generate a Rick and Morty episode based on the title.
Title: Ricktional Mortpoon's Rickmas Mortcation
Episode:
","For Christmas, Rick gives Morty a working Star Wars lightsaber, which he accidentally drops perfectly vertically. This causes it to tunnel into the Earth, threatening to destroy the planet if it reaches its core. Morty learns that Rick replaced himself with a robot after Morty had called him ""boring"" in ""A Rick in King Mortur's Mort"", while the real Rick is busy with his search for Rick Prime. During their quest, Morty is aided by the President, who then steals the lightsaber. The President accidentally drops the lightsaber in the same manner, forcing Morty and Rickbot to retrieve it. In the ensuing confrontation with the President at the White House (which the President launched into space to escape), Rickbot is mortally injured and the three are sucked into space, but Rick rescues them with a portal. Rickbot succumbs to his injuries and tells him he was only doing what Rick would have done in his place. As the President takes his leave, Morty joins Rick in his underground lab, offering to help him locate Rick Prime, prompting Rick to monologue about their impending arduous efforts to track Rick Prime during season 7."
